age, hours-per-week, workclass, native-country, sex, race, marital-status, relationship, occupation, income, education-num
40.5, 41, *, United-States, Male, White, *, *, *, <=50K, 13
40.5, 41, *, United-States, Male, White, *, *, *, <=50K, 9
40.5, 41, *, United-States, Male, White, *, *, *, <=50K, 11
40.5, 41, *, United-States, Male, White, *, *, *, <=50K, 12
40.5, 41, *, United-States, Male, White, *, *, *, <=50K, 9
40.5, 41, *, United-States, Male, White, *, *, *, <=50K, 10
40.5, 41, *, United-States, Male, White, *, *, *, <=50K, 12
40.5, 41, *, United-States, Male, White, *, *, *, <=50K, 10
40.5, 41, *, United-States, Male, White, *, *, *, <=50K, 9
56, 21.5, *, *, *, *, *, *, *, <=50K, 13
56, 21.5, *, *, *, *, *, *, *, <=50K, 5
56, 21.5, *, *, *, *, *, *, *, <=50K, 9
56, 21.5, *, *, *, *, *, *, *, <=50K, 9
56, 21.5, *, *, *, *, *, *, *, <=50K, 6
56, 21.5, *, *, *, *, *, *, *, <=50K, 10
56, 21.5, *, *, *, *, *, *, *, <=50K, 9
56, 21.5, *, *, *, *, *, *, *, <=50K, 12
56, 21.5, *, *, *, *, *, *, *, <=50K, 2
54, 40, *, United-States, Male, *, Married-civ-spouse, Husband, *, *, 7
54, 40, *, United-States, Male, *, Married-civ-spouse, Husband, *, *, 13
54, 40, *, United-States, Male, *, Married-civ-spouse, Husband, *, *, 9
54, 40, *, United-States, Male, *, Married-civ-spouse, Husband, *, *, 4
54, 40, *, United-States, Male, *, Married-civ-spouse, Husband, *, *, 9
54, 40, *, United-States, Male, *, Married-civ-spouse, Husband, *, *, 6
54, 40, *, United-States, Male, *, Married-civ-spouse, Husband, *, *, 9
54, 40, *, United-States, Male, *, Married-civ-spouse, Husband, *, *, 9
54, 40, *, United-States, Male, *, Married-civ-spouse, Husband, *, *, 10
29.5, 40, Private, America, *, *, Married-civ-spouse, *, *, <=50K, 13
29.5, 40, Private, America, *, *, Married-civ-spouse, *, *, <=50K, 9
29.5, 40, Private, America, *, *, Married-civ-spouse, *, *, <=50K, 13
29.5, 40, Private, America, *, *, Married-civ-spouse, *, *, <=50K, 10
29.5, 40, Private, America, *, *, Married-civ-spouse, *, *, <=50K, 9
29.5, 40, Private, America, *, *, Married-civ-spouse, *, *, <=50K, 4
29.5, 40, Private, America, *, *, Married-civ-spouse, *, *, <=50K, 9
29.5, 40, Private, America, *, *, Married-civ-spouse, *, *, <=50K, 9
29.5, 40, Private, America, *, *, Married-civ-spouse, *, *, <=50K, 10
38, 40, *, America, Female, White, *, *, *, <=50K, 14
38, 40, *, America, Female, White, *, *, *, <=50K, 10
38, 40, *, America, Female, White, *, *, *, <=50K, 9
38, 40, *, America, Female, White, *, *, *, <=50K, 10
