age, education-num, hours-per-week, workclass, native-country, sex, race, relationship, occupation, income, marital-status
42.5, 13, 41, *, United-States, *, White, *, *, <=50K, Never-married
42.5, 13, 41, *, United-States, *, White, *, *, <=50K, Divorced
42.5, 13, 41, *, United-States, *, White, *, *, <=50K, Divorced
42.5, 13, 41, *, United-States, *, White, *, *, <=50K, Never-married
42.5, 13, 41, *, United-States, *, White, *, *, <=50K, Married-spouse-absent
42.5, 13, 41, *, United-States, *, White, *, *, <=50K, Never-married
51.5, 13, 26.5, *, America, Male, White, Husband, *, *, Married-civ-spouse
51.5, 13, 26.5, *, America, Male, White, Husband, *, *, Married-civ-spouse
51.5, 13, 26.5, *, America, Male, White, Husband, *, *, Married-civ-spouse
51.5, 13, 26.5, *, America, Male, White, Husband, *, *, Married-civ-spouse
51.5, 13, 26.5, *, America, Male, White, Husband, *, *, Married-civ-spouse
51.5, 13, 26.5, *, America, Male, White, Husband, *, *, Married-civ-spouse
38.5, 9, 40, *, United-States, Male, White, *, *, *, Divorced
38.5, 9, 40, *, United-States, Male, White, *, *, *, Married-civ-spouse
38.5, 9, 40, *, United-States, Male, White, *, *, *, Married-civ-spouse
38.5, 9, 40, *, United-States, Male, White, *, *, *, Married-civ-spouse
38.5, 9, 40, *, United-States, Male, White, *, *, *, Married-civ-spouse
38.5, 9, 40, *, United-States, Male, White, *, *, *, Never-married
53.5, 8, 40, Private, America, Male, *, *, manual-labor, <=50K, Married-civ-spouse
53.5, 8, 40, Private, America, Male, *, *, manual-labor, <=50K, Never-married
53.5, 8, 40, Private, America, Male, *, *, manual-labor, <=50K, Married-civ-spouse
53.5, 8, 40, Private, America, Male, *, *, manual-labor, <=50K, Married-civ-spouse
53.5, 8, 40, Private, America, Male, *, *, manual-labor, <=50K, Divorced
53.5, 8, 40, Private, America, Male, *, *, manual-labor, <=50K, Divorced
29.5, 13, 40, Private, *, *, *, *, *, <=50K, Married-civ-spouse
29.5, 13, 40, Private, *, *, *, *, *, <=50K, Married-civ-spouse
29.5, 13, 40, Private, *, *, *, *, *, <=50K, Separated
29.5, 13, 40, Private, *, *, *, *, *, <=50K, Never-married
29.5, 13, 40, Private, *, *, *, *, *, <=50K, Never-married
29.5, 13, 40, Private, *, *, *, *, *, <=50K, Never-married
41.5, 14, 40, *, United-States, *, *, *, *, <=50K, Married-civ-spouse
41.5, 14, 40, *, United-States, *, *, *, *, <=50K, Divorced
41.5, 14, 40, *, United-States, *, *, *, *, <=50K, Divorced
41.5, 14, 40, *, United-States, *, *, *, *, <=50K, Widowed
41.5, 14, 40, *, United-States, *, *, *, *, <=50K, Never-married
41.5, 14, 40, *, United-States, *, *, *, *, <=50K, Married-civ-spouse
54, 5.5, 28, *, America, *, *, *, *, <=50K, Married-spouse-absent
54, 5.5, 28, *, America, *, *, *, *, <=50K, Widowed
54, 5.5, 28, *, America, *, *, *, *, <=50K, Divorced
54, 5.5, 28, *, America, *, *, *, *, <=50K, Married-civ-spouse
54, 5.5, 28, *, America, *, *, *, *, <=50K, Married-civ-spouse
54, 5.5, 28, *, America, *, *, *, *, <=50K, Married-civ-spouse
55.5, 9, 47.5, *, North-America, Male, White, Husband, *, *, Married-civ-spouse
55.5, 9, 47.5, *, North-America, Male, White, Husband, *, *, Married-civ-spouse
55.5, 9, 47.5, *, North-America, Male, White, Husband, *, *, Married-civ-spouse
55.5, 9, 47.5, *, North-America, Male, White, Husband, *, *, Married-civ-spouse
55.5, 9, 47.5, *, North-America, Male, White, Husband, *, *, Married-civ-spouse
55.5, 9, 47.5, *, North-America, Male, White, Husband, *, *, Married-civ-spouse
32.5, 14, 50, Private, United-States, *, White, *, Prof-specialty, *, Never-married
32.5, 14, 50, Private, United-States, *, White, *, Prof-specialty, *, Married-civ-spouse
32.5, 14, 50, Private, United-States, *, White, *, Prof-specialty, *, Married-civ-spouse
32.5, 14, 50, Private, United-States, *, White, *, Prof-specialty, *, Married-civ-spouse
